,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_gamma,param_max_depth,param_min_child_weight,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,1079.53733341,22.2936666012,-0.450248121445,-0.102293390744,0.6,1,18,1,2400,"{'n_estimators': 2400, 'gamma': 1, 'colsample_bytree': 0.6, 'max_depth': 18, 'min_child_weight': 1}",7,-0.454476864615,-0.101963485283,-0.458473881237,-0.101125936474,-0.437792000636,-0.103790750474,1.30474169403,0.353357563492,0.00895706477076,0.0011126354968
1,1011.66466657,22.1366666158,-0.449717633723,-0.105472120707,0.6,1,18,2,2400,"{'n_estimators': 2400, 'gamma': 1, 'colsample_bytree': 0.6, 'max_depth': 18, 'min_child_weight': 2}",4,-0.453735568507,-0.105058488913,-0.458173036952,-0.104173289193,-0.43724269648,-0.107184584016,6.15578903376,0.217454015766,0.00900459471978,0.00126366993975
2,975.785666625,22.3653333187,-0.44915952843,-0.109245269514,0.6,1,18,3,2400,"{'n_estimators': 2400, 'gamma': 1, 'colsample_bytree': 0.6, 'max_depth': 18, 'min_child_weight': 3}",3,-0.453292041307,-0.108855230478,-0.45754315482,-0.107997549471,-0.436641774671,-0.110883028592,4.95085424511,0.226407160449,0.00901930291811,0.00120984717394
3,941.702333291,22.6963334084,-0.448789495705,-0.113539361511,0.6,1,18,4,2400,"{'n_estimators': 2400, 'gamma': 1, 'colsample_bytree': 0.6, 'max_depth': 18, 'min_child_weight': 4}",1,-0.452761763976,-0.113129615366,-0.457087620535,-0.112348402317,-0.436517527482,-0.11514006685,3.34638730417,0.417074223906,0.00885486536552,0.00117594405853
4,924.865333319,22.9126667976,-0.448859029953,-0.118210534253,0.6,1,18,5,2400,"{'n_estimators': 2400, 'gamma': 1, 'colsample_bytree': 0.6, 'max_depth': 18, 'min_child_weight': 5}",2,-0.453039228481,-0.117746058443,-0.457156750153,-0.116858392342,-0.436379495814,-0.120027151974,8.25522643956,1.26565038967,0.00898241960237,0.00133468166859
5,1151.65333335,18.586666584,-0.452437240531,-0.178587697261,0.6,2,18,1,2400,"{'n_estimators': 2400, 'gamma': 2, 'colsample_bytree': 0.6, 'max_depth': 18, 'min_child_weight': 1}",24,-0.455928324182,-0.177888629868,-0.459858899481,-0.177010581852,-0.441523101128,-0.180863880065,24.3300258061,0.225857391975,0.00788197853729,0.0016489386882
6,1074.05799993,18.340666612,-0.451935631166,-0.181437689227,0.6,2,18,2,2400,"{'n_estimators': 2400, 'gamma': 2, 'colsample_bytree': 0.6, 'max_depth': 18, 'min_child_weight': 2}",19,-0.455303256127,-0.180918366186,-0.459387501333,-0.179602684983,-0.441114760252,-0.183792016513,24.8665590459,0.167782237761,0.00783054404507,0.00174926593813
7,996.471666654,18.7353333632,-0.451684788877,-0.184864812517,0.6,2,18,3,2400,"{'n_estimators': 2400, 'gamma': 2, 'colsample_bytree': 0.6, 'max_depth': 18, 'min_child_weight': 3}",15,-0.455005891123,-0.183983284538,-0.459094230749,-0.183215691333,-0.44095288211,-0.18739546168,4.10257309597,0.197170588609,0.00776945458197,0.0018166707134
8,980.975999991,18.4246667226,-0.451463780969,-0.188254861358,0.6,2,18,4,2400,"{'n_estimators': 2400, 'gamma': 2, 'colsample_bytree': 0.6, 'max_depth': 18, 'min_child_weight': 4}",11,-0.454863335225,-0.187476045327,-0.458751552593,-0.186595615836,-0.440775089022,-0.190692922912,30.1582416622,0.0306413770214,0.00772240814048,0.00176104081484
9,949.667333364,18.3526666959,-0.451652347852,-0.192189455248,0.6,2,18,5,2400,"{'n_estimators': 2400, 'gamma': 2, 'colsample_bytree': 0.6, 'max_depth': 18, 'min_child_weight': 5}",14,-0.455257657975,-0.191271191678,-0.458787440441,-0.190377403753,-0.440910553973,-0.194919770312,14.5370207252,0.153260765042,0.00773054579847,0.00196480354829
